height,timestamp_secs,energy,gas,tx_count
19900675,1716081731,13893,2437892,36
19900676,1716081743,186494,27156060,123
19900677,1716081755,128624,10162045,84
19900678,1716081767,81326,14869218,185
19900679,1716081779,58844,11760135,130
19900680,1716081791,54328,11842728,131
19900681,1716081803,238256,29998890,40
19900682,1716081815,84905,16033197,147
19900683,1716081827,54816,16434831,161
19900684,1716081839,47243,10886913,104
19900685,1716081851,199228,13576617,127
19900686,1716081863,53486,11477886,128
19900687,1716081875,88747,14714823,147
19900688,1716081887,62919,12410773,139
19900689,1716081899,74990,15166979,149
19900690,1716081911,53891,11828909,123
19900691,1716081923,60181,11251255,103
19900692,1716081935,226559,29982139,78
19900693,1716081947,57498,10129456,112
19900694,1716081959,20916,4166805,47
19900695,1716081971,193722,29983740,161
19900696,1716081983,140550,14342644,138
19900697,1716081995,54148,9050585,104
19900698,1716082007,94702,15884719,154
19900699,1716082019,62249,10926073,116
19900700,1716082031,181945,28632980,169
19900701,1716082043,173406,12418046,127
19900702,1716082055,59486,12397507,210
19900703,1716082067,55621,11451918,128
19900704,1716082079,62442,12053694,122
19900705,1716082091,156849,27472825,148
19900706,1716082103,57165,14777087,111
19900707,1716082115,66992,13204246,143
19900708,1716082127,51516,11193747,109
19900709,1716082139,147877,11476838,113
19900710,1716082151,54274,10684628,124
19900711,1716082163,223805,29719090,112
19900712,1716082175,70768,16563146,170
19900713,1716082187,47420,8719306,100
19900714,1716082199,40424,7810273,75
19900715,1716082211,182116,27343970,185
19900716,1716082223,34565,7546412,120
19900717,1716082235,47311,9771738,120
19900718,1716082247,220034,29985339,89
19900719,1716082259,50841,11034481,126
19900720,1716082271,55183,18056571,113
19900721,1716082283,34264,6645720,91
19900722,1716082295,59663,11722819,111
19900723,1716082307,206013,29682634,120
19900724,1716082319,182194,15348747,154
19900725,1716082331,52096,12412220,104
19900726,1716082343,44163,10392925,100
19900727,1716082355,48353,18529787,113
19900728,1716082367,32480,7424361,75
19900729,1716082379,52389,11291299,92
19900730,1716082391,208352,29992320,105
19900731,1716082403,178458,17016787,137
19900732,1716082415,65218,12014808,109
19900733,1716082427,77383,15829404,139
19900734,1716082451,9943,2297038,40
19900735,1716082463,189485,29997267,209
19900736,1716082475,189908,19684855,126
19900737,1716082487,13674,2595500,40
19900738,1716082499,136913,26073338,243
19900739,1716082511,59892,13337786,126
19900740,1716082523,43885,9640410,100
19900741,1716082535,74830,12078624,130
19900742,1716082547,67423,13995757,143
19900743,1716082559,64271,15705845,127
19900744,1716082571,157144,14461899,122
19900745,1716082583,50097,9628387,127
19900746,1716082595,201885,29983426,119
19900747,1716082607,48112,9069914,98
19900748,1716082619,32230,6971429,91
19900749,1716082631,155140,29988228,131
19900750,1716082643,61910,12858015,150
19900751,1716082655,59258,11286204,116
19900752,1716082667,73377,13121547,125
19900753,1716082679,67822,17040262,132
19900754,1716082691,185169,16762556,124
19900755,1716082703,37148,8356439,94
19900756,1716082715,50806,10071385,109
19900757,1716082727,206795,29999965,146
19900758,1716082739,50777,9350704,100
19900759,1716082751,18057,3928240,50
19900760,1716082763,207070,29989258,108
19900761,1716082775,74069,18398526,143
19900762,1716082787,146085,11470470,105
19900763,1716082799,51741,10500334,106
19900764,1716082811,45813,8373431,100
19900765,1716082823,192714,26458991,86
19900766,1716082835,68806,17715255,153
19900767,1716082847,40558,8943030,112
19900768,1716082859,57173,10472865,102
19900769,1716082871,222802,29996240,86
19900770,1716082883,163887,11941967,112
19900771,1716082895,52000,14144010,124
19900772,1716082907,53756,11375939,113
